iter	RMSE
0	23.02681157
1	22.92996223
2	22.84090095
3	22.75948564
4	22.68781198
5	22.62267848
6	22.56218404
7	22.50783218
8	22.4588864
9	22.41289394
10	22.37079366
11	22.33287527
12	22.29704927
13	22.26479304
14	22.23713662
15	22.21123313
16	22.18706784
17	22.16513685
18	22.14415782
19	22.12622891
20	22.10912499
21	22.09301416
22	22.07928052
23	22.06638681
24	22.05459598
25	22.04384813
26	22.03425815
27	22.02567567
28	22.01768085
29	22.01013187
30	22.00333098
31	21.9966569
32	21.99159988
33	21.98654717
34	21.98163786
35	21.9775798
36	21.97332336
37	21.96917976
38	21.96576719
39	21.9626495
40	21.95960036
41	21.95726011
42	21.95447723
43	21.95243993
44	21.9497876
45	21.94777847
46	21.9455642
47	21.9436345
48	21.94203635
49	21.94046562
50	21.93912678
51	21.93769915
52	21.93638114
53	21.93542223
54	21.93424153
55	21.93323034
56	21.93215186
57	21.93134959
58	21.93049638
59	21.92984735
60	21.92926157
61	21.92858186
62	21.92781342
63	21.92728448
64	21.92670462
65	21.92620024
66	21.92560529
67	21.92504918
68	21.92448197
69	21.92413174
70	21.92387785
71	21.92343888
72	21.92315689
73	21.92269432
74	21.92229834
75	21.92202335
76	21.92175892
77	21.92145246
78	21.92100578
79	21.9207594
80	21.92038501
81	21.92006597
82	21.91989256
83	21.91969409
84	21.91940913
85	21.91925146
86	21.91901201
87	21.91878062
88	21.91853161
89	21.91833866
90	21.91819336
91	21.91804595
92	21.91778169
93	21.91760312
94	21.91743418
95	21.91721257
96	21.91707449
97	21.91684797
98	21.9166389
99	21.91649809
100	21.91630745
101	21.9162147
102	21.916003
103	21.91583907
104	21.91562794
105	21.91536478
106	21.915236
107	21.91509168
108	21.91489743
109	21.91480101
110	21.91467477
111	21.91457645
112	21.9144352
113	21.91436114
114	21.91426916
115	21.91411087
116	21.91400396
117	21.91391854
118	21.91386083
119	21.91374422
120	21.9137035
121	21.91353524
122	21.91344299
123	21.91332418
124	21.91321597
125	21.91314695
126	21.913062
127	21.91292322
128	21.91279044
129	21.91265419
130	21.91260759
131	21.91251027
132	21.91234921
133	21.91230246
134	21.91224988
135	21.91212373
136	21.9119325
137	21.91181595
138	21.91173415
139	21.91163071
140	21.91146818
141	21.91135708
142	21.91127088
143	21.91120937
144	21.91116522
145	21.91101141
146	21.91094792
147	21.91080074
148	21.91074753
149	21.91068246
150	21.91062032
151	21.91042383
152	21.91035181
153	21.91020486
154	21.91009699
155	21.91003801
156	21.90997838
157	21.90992676
158	21.90984295
159	21.90977337
160	21.90963261
161	21.90952472
162	21.90940684
163	21.90929101
164	21.90924182
165	21.90916318
166	21.90909188
167	21.90898022
168	21.90888609
169	21.90881937
170	21.90877919
171	21.90860937
172	21.90851382
173	21.90842667
174	21.9082878
175	21.90824078
176	21.90821464
177	21.90812452
178	21.90803523
179	21.90793629
180	21.90788038
181	21.90774303
182	21.90770145
183	21.90766979
184	21.90760474
185	21.90746565
186	21.90740018
187	21.90731876
188	21.90728878
189	21.90725192
190	21.90716138
191	21.90698064
192	21.90690881
193	21.90679844
194	21.90675464
195	21.90667011
196	21.90665656
197	21.90653557
198	21.90651811
199	21.9063784
200	21.90626902
201	21.9062263
202	21.90613649
203	21.90610663
204	21.90600126
205	21.90590743
206	21.90583718
207	21.90575326
208	21.90559029
209	21.90553718
210	21.90541463
211	21.90536132
212	21.9052534
213	21.90523893
214	21.90516718
215	21.90505238
216	21.90498234
217	21.90493492
218	21.90485388
219	21.90475963
220	21.90468187
221	21.90457766
222	21.9045221
223	21.9044833
224	21.90445605
225	21.90439959
226	21.90433808
227	21.90431492
228	21.90428367
229	21.90411807
230	21.9040333
231	21.90385974
232	21.90372175
233	21.90360527
234	21.9035079
235	21.90340038
236	21.90335713
237	21.90325134
238	21.90319703
239	21.90313552
240	21.9030654
241	21.90301043
242	21.90296645
243	21.90287217
244	21.90276433
245	21.90265922
246	21.90252167
247	21.90242917
248	21.90240084
249	21.90225295
250	21.90222611
251	21.90212963
252	21.90203899
253	21.90191396
254	21.90175783
255	21.90168431
256	21.90165172
257	21.90149374
258	21.90136737
259	21.90131064
260	21.90119816
261	21.90113238
262	21.90101208
263	21.90096785
264	21.90079801
265	21.9006408
266	21.90047642
267	21.90032078
268	21.90026347
269	21.90015083
270	21.90012197
271	21.89995692
272	21.89973431
273	21.89971449
274	21.89968569
275	21.89966087
276	21.89955667
277	21.89941575
278	21.89940737
279	21.89939244
280	21.89920933
281	21.89910592
282	21.8990249
283	21.89888932
284	21.89886882
285	21.89885643
286	21.89875017
287	21.89863724
288	21.89850708
289	21.89835994
290	21.89831918
291	21.89824459
292	21.89808874
293	21.89805361
294	21.89804489
295	21.89795281
296	21.89792862
297	21.89788656
298	21.89777495
299	21.89776237
300	21.8977243
301	21.89755387
302	21.89745001
303	21.89739729
304	21.89738363
305	21.89734224
306	21.89725098
307	21.89723058
308	21.89717477
309	21.89708234
310	21.89705606
311	21.89702093
312	21.89700883
313	21.89687407
314	21.89682721
315	21.89666074
316	21.89658675
317	21.89655744
318	21.89652445
319	21.89640632
320	21.89639917
321	21.896302
322	21.89628954
323	21.89627135
324	21.89625934
325	21.89621539
326	21.89619893
327	21.89618389
328	21.89602865
329	21.89602194
330	21.89601481
331	21.89599684
332	21.89598172
333	21.89597653
334	21.89592728
335	21.89591641
336	21.89591443
337	21.89577813
338	21.89572379
339	21.89570867
340	21.89568527
341	21.89568297
342	21.89566144
343	21.89561071
344	21.89560657
345	21.89559844
346	21.89556837
347	21.8955432
348	21.89553592
349	21.89548518
350	21.8954777
