iter	Passed	Remaining
400	21144	5220
401	21192	5166
402	21242	5113
403	21290	5059
404	21337	5005
405	21385	4951
406	21435	4898
407	21488	4845
408	21539	4792
409	21591	4739
410	21643	4686
411	21699	4634
412	21752	4582
413	21806	4529
414	21856	4476
415	21903	4422
416	21951	4369
417	22001	4316
418	22055	4263
419	22103	4210
420	22153	4157
421	22206	4104
422	22258	4051
423	22308	3998
424	22356	3945
425	22403	3891
426	22453	3838
427	22502	3785
428	22550	3732
429	22598	3678
430	22646	3625
431	22694	3572
432	22742	3519
433	22790	3465
434	22837	3412
435	22886	3359
436	22933	3306
437	22980	3252
438	23028	3199
439	23076	3146
440	23126	3094
441	23175	3041
442	23221	2987
443	23272	2935
444	23322	2882
445	23373	2829
446	23423	2777
447	23476	2724
448	23525	2672
449	23575	2619
450	23623	2566
451	23671	2513
452	23721	2461
453	23768	2408
454	23817	2355
455	23865	2302
456	23912	2249
457	23965	2197
458	24029	2146
459	24081	2094
460	24135	2041
461	24186	1989
462	24240	1937
463	24290	1884
464	24387	1835
465	24481	1786
466	24537	1733
467	24586	1681
468	24637	1628
469	24686	1575
470	24736	1523
471	24786	1470
472	24837	1417
473	24888	1365
474	24937	1312
475	24987	1259
476	25037	1207
477	25087	1154
478	25136	1102
479	25186	1049
480	25236	996
481	25286	944
482	25337	891
483	25386	839
484	25436	786
485	25488	734
486	25536	681
487	25588	629
488	25641	576
489	25694	524
490	25749	471
491	25798	419
492	25849	367
493	25899	314
494	25948	262
495	25996	209
496	26043	157
497	26092	104
498	26146	52
499	26197	0
