epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.3432,1.89636,0.84948,0.99481,0.73864,0.00023474,0.00023474,0.00023474
2,110.427,0.69155,0.96021,1,0.22304,0.000238734,0.000238734,0.000238734
