epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.7589,1.89689,0.85294,0.99827,0.73988,0.00023474,0.00023474,0.00023474
2,116.023,0.58906,0.95156,0.99654,0.20219,0.000457139,0.000457139,0.000457139
3,172.43,0.29114,0.96194,0.99308,0.12361,0.000663831,0.000663831,0.000663831
4,227.789,0.20078,0.96713,0.99827,0.08794,0.000643314,0.000643314,0.000643314
5,284.925,0.17122,0.97751,1,0.07525,0.000619752,0.000619752,0.000619752
