iter	RMSE
390	7.082487135
391	7.080702743
392	7.077870151
393	7.075619377
394	7.073818
395	7.071686686
396	7.070193516
397	7.068853567
398	7.067104366
399	7.063564699
400	7.060625204
401	7.058044864
402	7.056445515
403	7.054289723
404	7.053061993
405	7.050498504
406	7.048631232
407	7.047091926
408	7.045394178
409	7.044478655
410	7.04233116
411	7.04109307
412	7.039781262
413	7.037715735
414	7.036443567
415	7.033923
416	7.030968692
417	7.028271596
418	7.026936391
419	7.024575425
420	7.023008672
421	7.021799867
422	7.019714561
423	7.018388888
424	7.016159277
425	7.014912482
426	7.012493403
427	7.010661115
428	7.00880346
429	7.006653562
430	7.004982216
431	7.003775459
432	7.001289729
433	6.999004271
434	6.995815404
435	6.993707944
436	6.992560175
437	6.990979941
438	6.988412129
439	6.985526425
440	6.982411339
441	6.979912662
442	6.97838528
443	6.976814041
444	6.974312849
445	6.972082599
446	6.9702893
447	6.969357237
448	6.966690048
449	6.964139024
450	6.961508231
451	6.959565496
452	6.957683715
453	6.955978227
454	6.953668513
455	6.951878598
456	6.950501354
457	6.94953993
458	6.948145903
459	6.94707511
460	6.945329206
461	6.942908605
462	6.941231698
463	6.938487353
464	6.936822558
465	6.934783498
466	6.93366142
467	6.932015253
468	6.929472162
469	6.927507177
470	6.926378871
471	6.925080126
472	6.922914012
473	6.920547986
474	6.918069172
475	6.916425174
476	6.9147621
477	6.912407015
478	6.911296048
479	6.909563337
480	6.907103342
481	6.905642851
482	6.903673335
483	6.901941815
484	6.900484994
485	6.898399314
486	6.896315907
487	6.894348281
488	6.893167425
489	6.890813186
490	6.888187044
491	6.886309771
492	6.884923361
493	6.88255186
494	6.881236486
495	6.879219538
496	6.877175315
497	6.874582226
498	6.871601236
499	6.869350065
